"State","HighSchool"
"Montana","93.6000"
"Wyoming","93.2000"
"New Hampshire","93.1000"
"Minnesota","93.1000"
"Alaska","92.8000"
"Vermont","92.7000"
"North Dakota","92.6000"
"Maine","92.6000"
"Utah","92.3000"
"Wisconsin","92.2000"
"Iowa","92.1000"
"Hawaii","92"
"South Dakota","91.7000"
"Colorado","91.7000"
"Nebraska","91.4000"
"Washington","91.3000"
"Kansas","91"
"Michigan","90.8000"
"Massachusetts","90.8000"
"Idaho","90.8000"
"Oregon","90.7000"
"Connecticut","90.6000"
"Pennsylvania","90.5000"
"Ohio","90.4000"
"Maryland","90.2000"
"Delaware","90"
"Missouri","89.9000"
"New Jersey","89.8000"
"Virginia","89.7000"
"Illinois","89.2000"
"Rhode Island","88.8000"
"Indiana","88.8000"
"Florida","88.2000"
"Oklahoma","88"
"North Carolina","87.8000"
"Tennessee","87.5000"
"South Carolina","87.5000"
"Georgia","87.1000"
"Arizona","87.1000"
"West Virginia","86.9000"
"New York","86.8000"
"Nevada","86.7000"
"Arkansas","86.6000"
"Kentucky","86.3000"
"Alabama","86.2000"
"New Mexico","85.6000"
"Louisiana","85.2000"
"Mississippi","84.5000"
"Texas","83.7000"
"California","83.3000"